1,0.1,500,317342,./Data/Google_sorted.txt
2,0.1,500,384905,./Data/Google_sorted.txt
4,0.1,500,449346,./Data/Google_sorted.txt
8,0.1,500,461938,./Data/Google_sorted.txt
1,0.1,500,254490,./Data/BerkStan_sorted.txt
2,0.1,500,301298,./Data/BerkStan_sorted.txt
4,0.1,500,339165,./Data/BerkStan_sorted.txt
8,0.1,500,358749,./Data/BerkStan_sorted.txt
1,0.1,500,92049.1,./Data/NotreDame_sorted.txt
2,0.1,500,137576,./Data/NotreDame_sorted.txt
4,0.1,500,172544,./Data/NotreDame_sorted.txt
8,0.1,500,169988,./Data/NotreDame_sorted.txt
1,0.1,500,1058.34,./Data/facebook_combined.txt
2,0.1,500,1406.99,./Data/facebook_combined.txt
4,0.1,500,2024.8,./Data/facebook_combined.txt
8,0.1,500,2107.65,./Data/facebook_combined.txt
